,date,TTV,PTV
186,6/7/17,1515698,52636
187,7/7/17,1530879,46262
188,8/7/17,1454025,45217
189,9/7/17,1453829,47994
190,10/7/17,1567719,50619
191,11/7/17,1505127,49828
192,12/7/17,1550215,49293
193,13/7/17,1745383,64950
194,14/7/17,1521442,46257
195,15/7/17,1515305,45022
196,16/7/17,1482369,48260
197,17/7/17,1522690,52260
198,18/7/17,1755775,59151
199,19/7/17,1612003,52058
200,20/7/17,1608577,50889
201,21/7/17,1763444,49544
202,22/7/17,1491239,45775
203,23/7/17,1500968,48554
204,24/7/17,1672611,53292
205,25/7/17,1579195,50474
206,26/7/17,1640740,56017
207,27/7/17,1563776,52408
208,28/7/17,1553621,48046
209,29/7/17,1573895,51726
210,30/7/17,1563092,55022
211,31/7/17,1629453,58116
212,1/8/17,1690796,59042
213,2/8/17,1669352,58928
214,3/8/17,1657765,58336
215,4/8/17,1660942,53032
216,5/8/17,1630131,53299
217,6/8/17,1667647,57632
218,7/8/17,1747022,61052
219,8/8/17,1768029,62758
220,9/8/17,1795599,59796
221,10/8/17,1751485,59074
222,11/8/17,2005596,62076
223,12/8/17,1769326,49413
224,13/8/17,1681023,53380
225,14/8/17,1961656,58132
226,15/8/17,1811894,58650
227,16/8/17,1745966,55522
228,17/8/17,1740409,54624
229,18/8/17,1690117,51133
230,19/8/17,1621945,48033
231,20/8/17,1652272,51166
232,21/8/17,1701963,55245
233,22/8/17,1718286,57741
234,23/8/17,1731968,61917
235,24/8/17,1916004,64452
236,25/8/17,2057637,59643
237,26/8/17,1811548,54808
238,27/8/17,1759603,58694
239,28/8/17,1789176,58618
240,29/8/17,1860308,61089
241,30/8/17,1800524,61638
242,31/8/17,1841974,63228
243,1/9/17,2060336,62401
244,2/9/17,1946126,64929
245,3/9/17,1980307,69212
246,4/9/17,2120494,73122
247,5/9/17,2031473,69423
248,6/9/17,2100292,76251
249,7/9/17,2238867,76659
250,8/9/17,2174209,72062
251,9/9/17,2196682,73482
252,10/9/17,2114480,69538
253,11/9/17,2110201,66037
254,12/9/17,1944427,64789
255,13/9/17,1934112,64447
256,14/9/17,1953514,63322
257,15/9/17,1888787,61904
258,16/9/17,1854948,58514
259,17/9/17,1854778,60732
260,18/9/17,2032573,64183
261,19/9/17,1906816,61606
262,20/9/17,1882934,60416
263,21/9/17,1856200,58862
264,22/9/17,1843849,55849
265,23/9/17,1780159,55111
266,24/9/17,1805594,57465
267,25/9/17,1848414,60337
268,26/9/17,1968871,58399
269,27/9/17,1860932,58446
270,28/9/17,1853768,57667
271,29/9/17,1784545,55426
272,30/9/17,1701865,52556
273,1/10/17,1826598,57903
274,2/10/17,1833663,59953
275,3/10/17,1768130,58477
276,4/10/17,1817776,57160
277,5/10/17,1846586,58503
278,6/10/17,1818540,54852
279,7/10/17,1782538,53068
280,8/10/17,1743211,53071
281,9/10/17,1814977,55948
282,10/10/17,2130872,91888
283,11/10/17,2153946,63913
284,12/10/17,2073095,64264
285,13/10/17,1966438,61993
286,14/10/17,1963922,64749
287,15/10/17,1950277,67224
288,16/10/17,1969623,67011
289,17/10/17,2189631,67718
290,18/10/17,1992028,67240
291,19/10/17,2024931,65955
292,20/10/17,1922842,60985
293,21/10/17,1881219,60067
294,22/10/17,1877750,64012
295,23/10/17,2123473,68480
296,24/10/17,2006219,67329
297,25/10/17,1989782,66411
298,26/10/17,1952857,62592
299,27/10/17,1948579,59048
300,28/10/17,1866307,60528
301,29/10/17,1885185,65166
302,30/10/17,2011435,71372
303,31/10/17,1938536,75006
304,1/11/17,2196942,78508
305,2/11/17,2133757,68751
306,3/11/17,1996203,64003
307,4/11/17,1951895,64922
308,5/11/17,1975115,68473
309,6/11/17,2291704,74534
310,7/11/17,2216178,77449
311,8/11/17,2449954,81244
312,9/11/17,2398457,83877
313,10/11/17,2575147,112363
314,11/11/17,2892692,164707
315,12/11/17,2473358,109051
316,13/11/17,2277367,77864
317,14/11/17,2160244,74109
318,15/11/17,2180016,72729
319,16/11/17,2186503,69015
320,17/11/17,2057356,66380
321,18/11/17,2023894,64078
322,19/11/17,2168158,70250
323,20/11/17,2099905,73912
324,21/11/17,2130189,70635
325,22/11/17,2103954,72226
326,23/11/17,2104461,69355
327,24/11/17,2075986,65949
328,25/11/17,1998642,65598
329,26/11/17,2026494,70716
330,27/11/17,2103418,71533
331,28/11/17,2095867,70256
332,29/11/17,2096115,71217
333,30/11/17,2090830,70116
334,1/12/17,2048013,69595
335,2/12/17,2064234,68437
336,3/12/17,2074419,71311
337,4/12/17,2131874,75154
338,5/12/17,2140478,74662
339,6/12/17,2173158,76904
340,7/12/17,2358438,79282
341,8/12/17,2363070,75590
342,9/12/17,2102832,69050
343,10/12/17,2322542,77875
344,11/12/17,2627569,93079
345,12/12/17,1919176,91596
346,13/12/17,1970403,89904
347,14/12/17,2196153,82784
348,15/12/17,2116639,76224
349,16/12/17,2086958,68500
350,17/12/17,2108763,72992
351,18/12/17,2184172,75325
352,19/12/17,2156708,85052
353,20/12/17,2171160,72330
354,21/12/17,2145724,69303
355,22/12/17,2068822,66148
356,23/12/17,2012070,60391
357,24/12/17,2040915,63858
358,25/12/17,2110358,68139
359,26/12/17,2116855,70515
360,27/12/17,2111884,69294
361,28/12/17,2086821,66900
362,29/12/17,2027474,64180
363,30/12/17,1986081,65131
364,31/12/17,2056855,64574
